#,Nakshatra Name,Ruling Planet,Deity,Symbol,Defining Characteristics
1,Ashwini,Ketu,Ashwini Kumars,Horse's Head,"The Pioneer. Swift, energetic, impulsive, independent, possesses healing abilities, quick to start things."
2,Bharani,Venus,Yama,Yoni (Womb),"The Bearer. Passionate, creative, sustaining, dealing with birth, death, and transformation. Has great endurance and power."
3,Krittika,Sun,Agni,"Razor, Axe","The Cutter. Sharp, determined, courageous, fiery, and purifying. Can be aggressive or analytical, but also nurturing."
4,Rohini,Moon,Brahma,Cart/Chariot,"The Nurturer. Charming, magnetic, artistic, fertile, focused on beauty, nature, and material growth. Sensual and creative."
5,Mrigashirsha,Mars,Soma,Deer's Head,"The Seeker. Curious, restless, gentle, constantly searching for inner peace or knowledge. Wandering, intellectual, dual nature."
6,Ardra,Rahu,Rudra,Teardrop,"The Transformative. Intense, emotional, dealing with pain, storm, and purification. Can be destructive, leading to renewal and deep understanding."
7,Punarvasu,Jupiter,Aditi,Quiver of Arrows,"The Returner. Optimistic, kind, nurturing, philosophical. Marked by cycles of return or renewal, strong moral compass."
8,Pushya,Saturn,Brihaspati,Cow's Udder,"The Nourisher. Responsible, spiritual, dedicated to service, provides support and nourishment. Highly disciplined and devout."
9,Ashlesha,Mercury,Nagas,Coiled Serpent,"The Clinging. Subtle, secretive, intense, highly intuitive, perceptive, and strategic. Can be manipulative or cunning."
10,Magha,Ketu,Pitris (Ancestors),Throne,"The Royal. Majestic, authoritative, traditional, deeply respectful of heritage and ancestry. Strong leadership qualities, proud."
11,Purva Phalguni,Venus,Bhaga,Hammock,"The Enjoyer. Creative, charming, pleasure-loving, artistic, enjoys relaxation, love, and the finer things in life."
12,Uttara Phalguni,Sun,Aryaman,Bed,"The Patron. Loyal, generous, duty-bound, supportive of others, focused on long-term partnerships and friendship."
13,Hasta,Moon,Savitar,Hand,"The Skillful. Dexterous, creative with hands, quick-witted, humorous, focused on manifesting desires. Skilled in craft and communication."
14,Chitra,Mars,Vishwakarma,Jewel,"The Brilliant. Beautiful, artistic, charismatic, gives an eye for design and architecture. Highly ambitious and vibrant."
15,Swati,Rahu,Vayu (Wind God),Coral,"The Independent. Independent, flexible, adaptable, loves freedom, intellectual. Can be restless or changeable like the wind."
16,Vishakha,Jupiter,Indra & Agni,"Archway, Pottery","The Purposeful. Ambitious, focused on goals, powerful, dedicated to dharma and self-control. Driven to achieve success."
17,Anuradha,Saturn,Mitra,"Lotus, Staff","The Devoted. Loyal, cooperative, friendly, focused on developing relationships and community. Success comes through devotion and perseverance."
18,Jyeshtha,Mercury,Indra,"Earring, Talisman","The Eldest. Protective, strong-willed, authoritative, intelligent, wise through experience. Seeks to rise to a powerful position."
19,Moola,Ketu,Nirrti,Tangle of Roots,"The Rooted. Introspective, deeply philosophical, seeks the root of all things, transformative power. Can be harsh or destructive to untruths."
20,Purva Ashadha,Venus,Apas,"Fan, Winnowing Basket","The Invincible. Optimistic, expansive, confident, strong persuasive skills, proud of their roots, enjoys water."
21,Uttara Ashadha,Sun,Vishvadevas,Elephant Tusk,"The Unbeatable. Disciplined, resilient, righteous, noble, committed to long-term goals. Seeks ultimate victory and morality."
22,Shravana,Moon,Vishnu,"Ear, Three Footprints","The Listener. Knowledgeable, receptive, skilled in learning and teaching, attentive. Seeks wisdom and connects with travel and ancient knowledge."
23,Dhanishtha,Mars,Vasus,"Drum, Flute","The Wealthy. Charismatic, musical, concerned with wealth and fame, humanitarian in nature. Can be a great performer or organizer."
24,Shatabhisha,Rahu,Varuna,Empty Circle,"The Hundred Healers. Mysterious, healing abilities, secretive, scientific, often deals with isolation and technology."
25,Purva Bhadrapada,Jupiter,Aja Ekapada,Two-faced Man,"The Scorching. Visionary, extremist, passionate, philosophical, brings about purification and transformation through intense experience."
26,Uttara Bhadrapada,Saturn,Ahirbudhnya,Twin Fish,"The Tranquil. Compassionate, disciplined, wise, focused on spiritual depth and long-term security. The ""warrior"" of the depths."
27,Revati,Mercury,Pushan,"Drum, Fish","The Giver. Nurturing, tender, mystical, acts as a guiding light or protector. Great love for animals and humanity, final phase of the zodiac."
