Lagna (Ascendant),Ruling Planet,Defining Temperament & Appearance,Approach to Life & Key Focus
Aries,Mars,"Dynamic, athletic build, direct gaze, quick movements.","The Pioneer. Impulsive, courageous, fiercely independent. Focuses on starting projects and blazing new trails. Prone to accidents involving the head."
Taurus,Venus,"Sturdy build, beautiful features, magnetic eyes, calm and slow demeanor.","The Sustainer. Stable, practical, sensual, and focused on security and comfort. Values family, wealth, and material luxury. Resistant to rapid change."
Gemini,Mercury,"Tall, slender, animated expression, restless eyes, youthful appearance.","The Communicator. Intellectual, curious, social, and prone to multitasking. Life's purpose involves learning, writing, and communication; often has a dual personality."
Cancer,Moon,"Round face, soft features, watery eyes, moderate height.","The Nurturer. Emotional, sensitive, and deeply attached to home and family. Highly intuitive. Approach is protective, cautious, and seeks emotional security above all."
Leo,Sun,"Robust or tall build, broad shoulders, commanding presence, confident walk.","The Leader. Proud, charismatic, and seeks recognition and authority. Natural leadership abilities. Focuses on creative self-expression and being the center of attention."
Virgo,Mercury,"Slender, neat, clean-cut, delicate features, sometimes shy or reserved.","The Analyzer. Practical, analytical, and highly service-oriented. Focuses energy on details, perfection, health, and solving practical problems for others. Can be overly critical."
Libra,Venus,"Well-proportioned, often beautiful or graceful, charming smile, diplomatic manner.","The Harmonizer. Driven by relationship, fairness, and balance. Approach is diplomatic and seeks partnership in all areas. Avoids conflict and prioritizes social harmony."
Scorpio,Mars,"Intense eyes, penetrating gaze, strong, compact body.","The Transformer. Deeply passionate, secretive, and resilient. Life path involves dealing with crisis, transformation, and hidden knowledge (occult, research, psychology). Extremely determined."
Sagittarius,Jupiter,"Tall, athletic build, cheerful expression, broad forehead.","The Explorer. Optimistic, philosophical, adventurous, and freedom-loving. Seeks higher knowledge, travel, and spiritual growth. Can be restless and overly blunt."
Capricorn,Saturn,"Lean build, serious expression, disciplined posture.","The Builder. Ambitious, practical, disciplined, and focused on achievement. Values responsibility and long-term goals. Can appear reserved or overly cautious."
Aquarius,Saturn,"Distinctive features, unconventional style, thoughtful gaze.","The Visionary. Innovative, humanitarian, eccentric, and intellectual. Seeks reform and progress. Can be emotionally detached or unpredictable."
Pisces,Jupiter,"Gentle features, dreamy eyes, soft and compassionate appearance.","The Dreamer. Imaginative, empathetic, spiritual, and artistic. Seeks emotional connection and transcendence. Can be escapist or overly idealistic."
